matched pairs,with mandate,without mandate,intervention time,analysis window start,analysis window end
1,"Riverside,CA","Kern,CA",4-4-2020,03-21-2020,05-16-2020
2,"Miami-Dade,FL","Fulton,GA",4-9-2020,03-26-2020,05-21-2020
3,"Middlesex,MA","Worcester,MA",4-10-2020,03-27-2020,05-22-2020
4,"Broward,FL","Mecklenburg,NC",4-11-2020,03-28-2020,05-23-2020
5,"Essex,MA","Hampden,MA",4-12-2020,03-29-2020,05-24-2020
6,"Osceola,FL","Hinds,MS",4-13-2020,03-30-2020,05-25-2020
7,"Cook,IL","Marion,IN",4-15-2020,04-01-2020,05-27-2020
8,"Navajo,AZ","Coconino,AZ",4-17-2020,04-03-2020,05-29-2020
9,"Sonoma,CA","Anchorage,AK",4-17-2020,04-03-2020,05-29-2020
10,"Honolulu,HI","Washington,OR",4-17-2020,04-03-2020,05-29-2020
11,"Norfolk,MA","Hillsborough,NH",4-17-2020,04-03-2020,05-29-2020
12,"Fairfield,CT","Hillsborough,NH",4-20-2020,04-06-2020,06-01-2020
13,"Hartford,CT","Hillsborough,NH",4-20-2020,04-06-2020,06-01-2020
14,"Middlesex,CT","Rockingham,NH",4-20-2020,04-06-2020,06-01-2020
15,"New Haven,CT","Hillsborough,NH",4-20-2020,04-06-2020,06-01-2020
16,"New London,CT","Hillsborough,NH",4-20-2020,04-06-2020,06-01-2020
17,"Tolland,CT","Rockingham,NH",4-20-2020,04-06-2020,06-01-2020
18,"Windham,CT","Merrimack,NH",4-20-2020,04-06-2020,06-01-2020
19,"Lake,IL","Milwaukee,WI",4-20-2020,04-06-2020,06-01-2020
20,"Durham,NC","Clayton,GA",4-20-2020,04-06-2020,06-01-2020
21,"Contra Costa,CA","Multnomah,OR",4-22-2020,04-08-2020,06-03-2020
22,"Marin,CA","Washington,OR",4-22-2020,04-08-2020,06-03-2020
23,"San Mateo,CA","Multnomah,OR",4-22-2020,04-08-2020,06-03-2020
24,"San Bernardino,CA","Fresno,CA",4-23-2020,04-09-2020,06-04-2020
25,"Suffolk,MA","Hillsborough,NH",4-23-2020,04-09-2020,06-04-2020
26,"Santa Cruz,CA","Solano,CA",4-24-2020,04-10-2020,06-05-2020
27,"DuPage,IL","Cuyahoga,OH",4-24-2020,04-10-2020,06-05-2020
28,"Bay,MI","Delaware,IN",4-26-2020,04-12-2020,06-07-2020
29,"Berrien,MI","Delaware,IN",4-26-2020,04-12-2020,06-07-2020
30,"Calhoun,MI","Delaware,IN",4-26-2020,04-12-2020,06-07-2020
31,"Genesee,MI","Mahoning,OH",4-26-2020,04-12-2020,06-07-2020
32,"Ingham,MI","St. Joseph,IN",4-26-2020,04-12-2020,06-07-2020
33,"Jackson,MI","Clark,IN",4-26-2020,04-12-2020,06-07-2020
34,"Kalamazoo,MI","St. Joseph,IN",4-26-2020,04-12-2020,06-07-2020
35,"Kent,MI","Summit,OH",4-26-2020,04-12-2020,06-07-2020
